"Sequence number"	"Sequence ID"	"Functionality"	"V-GENE and allele"	"V-REGION Nb of positions including IMGT gaps (nt)"	"V-REGION Nb of nucleotides"	"V-REGION Nb of identical nucleotides"	"V-REGION Nb of mutations"	"V-REGION Nb of silent mutations"	"V-REGION Nb of nonsilent mutations"	"V-REGION a>g"	"V-REGION g>a"	"V-REGION c>t"	"V-REGION t>c"	"V-REGION a>c"	"V-REGION c>a"	"V-REGION a>t"	"V-REGION t>a"	"V-REGION g>c"	"V-REGION c>g"	"V-REGION g>t"	"V-REGION t>g"	"FR1-IMGT Nb of positions including IMGT gaps (nt)"	"FR1-IMGT Nb of nucleotides"	"FR1-IMGT Nb of identical nucleotides"	"FR1-IMGT Nb of mutations"	"FR1-IMGT Nb of silent mutations"	"FR1-IMGT Nb of nonsilent mutations"	"FR1-IMGT a>g"	"FR1-IMGT g>a"	"FR1-IMGT c>t"	"FR1-IMGT t>c"	"FR1-IMGT a>c"	"FR1-IMGT c>a"	"FR1-IMGT a>t"	"FR1-IMGT t>a"	"FR1-IMGT g>c"	"FR1-IMGT c>g"	"FR1-IMGT g>t"	"FR1-IMGT t>g"	"CDR1-IMGT Nb of positions including IMGT gaps (nt)"	"CDR1-IMGT Nb of nucleotides"	"CDR1-IMGT Nb of identical nucleotides"	"CDR1-IMGT Nb of mutations"	"CDR1-IMGT Nb of silent mutations"	"CDR1-IMGT Nb of nonsilent mutations"	"CDR1-IMGT a>g"	"CDR1-IMGT g>a"	"CDR1-IMGT c>t"	"CDR1-IMGT t>c"	"CDR1-IMGT a>c"	"CDR1-IMGT c>a"	"CDR1-IMGT a>t"	"CDR1-IMGT t>a"	"CDR1-IMGT g>c"	"CDR1-IMGT c>g"	"CDR1-IMGT g>t"	"CDR1-IMGT t>g"	"FR2-IMGT Nb of positions including IMGT gaps (nt)"	"FR2-IMGT Nb of nucleotides"	"FR2-IMGT Nb of identical nucleotides"	"FR2-IMGT Nb of mutations"	"FR2-IMGT Nb of silent mutations"	"FR2-IMGT Nb of nonsilent mutations"	"FR2-IMGT a>g"	"FR2-IMGT g>a"	"FR2-IMGT c>t"	"FR2-IMGT t>c"	"FR2-IMGT a>c"	"FR2-IMGT c>a"	"FR2-IMGT a>t"	"FR2-IMGT t>a"	"FR2-IMGT g>c"	"FR2-IMGT c>g"	"FR2-IMGT g>t"	"FR2-IMGT t>g"	"CDR2-IMGT Nb of positions including IMGT gaps (nt)"	"CDR2-IMGT Nb of nucleotides"	"CDR2-IMGT Nb of identical nucleotides"	"CDR2-IMGT Nb of mutations"	"CDR2-IMGT Nb of silent mutations"	"CDR2-IMGT Nb of nonsilent mutations"	"CDR2-IMGT a>g"	"CDR2-IMGT g>a"	"CDR2-IMGT c>t"	"CDR2-IMGT t>c"	"CDR2-IMGT a>c"	"CDR2-IMGT c>a"	"CDR2-IMGT a>t"	"CDR2-IMGT t>a"	"CDR2-IMGT g>c"	"CDR2-IMGT c>g"	"CDR2-IMGT g>t"	"CDR2-IMGT t>g"	"FR3-IMGT Nb of positions including IMGT gaps (nt)"	"FR3-IMGT Nb of nucleotides"	"FR3-IMGT Nb of identical nucleotides"	"FR3-IMGT Nb of mutations"	"FR3-IMGT Nb of silent mutations"	"FR3-IMGT Nb of nonsilent mutations"	"FR3-IMGT a>g"	"FR3-IMGT g>a"	"FR3-IMGT c>t"	"FR3-IMGT t>c"	"FR3-IMGT a>c"	"FR3-IMGT c>a"	"FR3-IMGT a>t"	"FR3-IMGT t>a"	"FR3-IMGT g>c"	"FR3-IMGT c>g"	"FR3-IMGT g>t"	"FR3-IMGT t>g"	"CDR3-IMGT Nb of positions including IMGT gaps (nt)"	"CDR3-IMGT Nb of nucleotides"	"CDR3-IMGT Nb of identical nucleotides"	"CDR3-IMGT Nb of mutations"	"CDR3-IMGT Nb of silent mutations"	"CDR3-IMGT Nb of nonsilent mutations"	"CDR3-IMGT a>g"	"CDR3-IMGT g>a"	"CDR3-IMGT c>t"	"CDR3-IMGT t>c"	"CDR3-IMGT a>c"	"CDR3-IMGT c>a"	"CDR3-IMGT a>t"	"CDR3-IMGT t>a"	"CDR3-IMGT g>c"	"CDR3-IMGT c>g"	"CDR3-IMGT g>t"	"CDR3-IMGT t>g"	""
547	">968_@M02381:30:000000000-AUCBB:1:1101:24043:4820"	"unknown"	"Homsap TRBV11-2*01 F"	"312"	"186"	"143"	"43"	"0"	"43"	"4"	"5"	"4"	"0"	"0"	"8"	"2"	"5"	"1"	"3"	"2"	"9"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	3	0	3	0	3	1	0	1	0	0	1	0	0	0	0	0	0	51	51	23	28	0	28	3	3	2	0	0	3	2	3	1	3	1	7	30	18	11	7	0	7	0	2	0	0	0	2	0	2	0	0	0	1	117	114	109	5	0	5	0	0	1	0	0	2	0	0	0	0	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
548	">969_@M02381:30:000000000-AUCBB:1:1101:15411:4821"	"unknown"	"Homsap TRBV29-1*01 F"	"323"	"201"	"200"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	114	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
549	">971_@M02381:30:000000000-AUCBB:1:1101:15110:4822"	"productive"	"Homsap TRBV5-6*01 F"	"325"	"197"	"196"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"13"	"13"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
550	">974_@M02381:30:000000000-AUCBB:1:1101:9572:4834"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
551	">975_@M02381:30:000000000-AUCBB:1:1101:12621:4835"	"productive"	"Homsap TRBV5-6*01 F"	"322 (325)"	"194 (197)"	"193 (194)"	"1 (3)"	"0 (1)"	"1 (2)"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0 (1)"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"10 (13)"	"10 (13)"	"10 (11)"	"0 (2)"	"0 (1)"	"0 (1)"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	NA
552	">976_@M02381:30:000000000-AUCBB:1:1101:21307:4837"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
553	">982_@M02381:30:000000000-AUCBB:1:1101:24005:4854"	"productive"	"Homsap TRBV11-3*02 (F)"	"321"	"195"	"192"	"3"	"1"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	114	111	3	1	2	0	3	0	0	0	0	0	0	0	0	0	0	"9"	"9"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
554	">983_@M02381:30:000000000-AUCBB:1:1101:14161:4855"	"productive"	"Homsap TRBV6-5*01 F"	"324 (326)"	"196 (198)"	"195"	"1 (3)"	"0 (2)"	"1"	"0"	"0"	"0"	"0 (1)"	"0"	"1"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	51	50	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"12 (14)"	"12 (14)"	"12"	"0 (2)"	"0 (2)"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	NA
555	">984_@M02381:30:000000000-AUCBB:1:1101:8391:4861"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
556	">985_@M02381:30:000000000-AUCBB:1:1101:6517:4864"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
557	">987_@M02381:30:000000000-AUCBB:1:1101:15422:4874"	"unproductive"	"Homsap TRBV6-2*01 F, or Homsap TRBV6-3*01 F"	"322 (326)"	"192 (196)"	"192 (194)"	"0 (2)"	"0 (1)"	"0 (1)"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"10 (14)"	"10 (14)"	"10 (12)"	"0 (2)"	"0 (1)"	"0 (1)"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	NA
558	">988_@M02381:30:000000000-AUCBB:1:1101:6911:4876"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
559	">989_@M02381:30:000000000-AUCBB:1:1101:14052:4878"	"unproductive"	"Homsap TRBV5-1*01 F"	"321 (325)"	"193 (197)"	"191 (192)"	"2 (5)"	"2 (3)"	"0 (2)"	"1"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"1 (2)"	"0"	"0"	"0 (1)"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	51	51	50	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"9 (13)"	"9 (13)"	"9 (10)"	"0 (3)"	"0 (1)"	"0 (2)"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0 (1)"	NA
560	">992_@M02381:30:000000000-AUCBB:1:1101:8533:4882"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
561	">993_@M02381:30:000000000-AUCBB:1:1101:23890:4883"	"productive"	"Homsap TRBV6-5*01 F"	"324 (326)"	"196 (198)"	"195"	"1 (3)"	"0 (2)"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0 (1)"	"0"	"0 (1)"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	51	50	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"12 (14)"	"12 (14)"	"12"	"0 (2)"	"0 (2)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0 (1)"	"0"	"0"	NA
562	">994_@M02381:30:000000000-AUCBB:1:1101:12660:4885"	"unproductive"	"Homsap TRBV27*01 F"	"321 (326)"	"193 (198)"	"190 (191)"	"3 (7)"	"2 (4)"	"1 (3)"	"0"	"1"	"0 (1)"	"1 (2)"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0 (2)"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	2	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	51	51	50	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"9 (14)"	"9 (14)"	"9 (10)"	"0 (4)"	"0 (2)"	"0 (2)"	"0"	"0"	"0 (1)"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (2)"	NA
563	">995_@M02381:30:000000000-AUCBB:1:1101:8310:4886"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
564	">996_@M02381:30:000000000-AUCBB:1:1101:15685:4886"	"productive"	"Homsap TRBV12-3*01 F"	"321 (326)"	"197 (202)"	"193 (195)"	"4 (7)"	"2"	"2 (5)"	"0 (1)"	"0"	"1"	"1 (3)"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	2	3	2	1	0	0	1	1	1	0	0	0	0	0	0	0	51	51	50	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	114	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"9 (14)"	"9 (14)"	"9 (11)"	"0 (3)"	"0"	"0 (3)"	"0 (1)"	"0"	"0"	"0 (2)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
565	">997_@M02381:30:000000000-AUCBB:1:1101:10894:4888"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
566	">999_@M02381:30:000000000-AUCBB:1:1101:11404:4891"	"productive"	"Homsap TRBV5-4*01 F, or Homsap TRBV5-4*03 (F)"	"325"	"197"	"196"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"13"	"13"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
567	">901_@M02381:30:000000000-AUCBB:1:1101:16149:4658"	"productive"	"Homsap TRBV29-1*01 F"	"318 (323)"	"196 (201)"	"195 (196)"	"1 (5)"	"0 (2)"	"1 (3)"	"0 (1)"	"0"	"0"	"1"	"0"	"0"	"0 (1)"	"0"	"0 (2)"	"0"	"0"	"0"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	21	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	114	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"6 (11)"	"6 (11)"	"6 (7)"	"0 (4)"	"0 (2)"	"0 (2)"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0 (2)"	"0"	"0"	"0"	NA
568	">903_@M02381:30:000000000-AUCBB:1:1101:8182:4662"	"unproductive"	"Homsap TRBV27*01 F"	"320 (326)"	"192 (198)"	"189"	"3 (9)"	"2 (4)"	"1 (5)"	"0 (1)"	"1"	"0"	"1"	"0"	"1 (2)"	"0"	"0 (3)"	"0"	"0"	"0"	"0 (1)"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	2	2	2	0	0	1	0	1	0	0	0	0	0	0	0	0	51	51	50	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"8 (14)"	"8 (14)"	"8"	"0 (6)"	"0 (2)"	"0 (4)"	"0 (1)"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0 (3)"	"0"	"0"	"0"	"0 (1)"	NA
569	">905_@M02381:30:000000000-AUCBB:1:1101:22800:4679"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
570	">906_@M02381:30:000000000-AUCBB:1:1101:9767:4680"	"productive"	"Homsap TRBV6-5*01 F"	"320 (326)"	"195 (201)"	"190 (193)"	"5 (8)"	"2 (3)"	"3 (5)"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"0 (3)"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	7	2	5	2	3	1	0	1	0	0	0	1	1	1	0	0	0	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"8 (14)"	"8 (14)"	"8 (11)"	"0 (3)"	"0 (1)"	"0 (2)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (3)"	NA
571	">907_@M02381:30:000000000-AUCBB:1:1101:15435:4680"	"productive"	"Homsap TRBV19*01 F"	"319 (326)"	"191 (198)"	"190 (192)"	"1 (6)"	"1 (2)"	"0 (4)"	"0 (2)"	"0 (1)"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1 (2)"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	51	51	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"7 (14)"	"7 (14)"	"7 (9)"	"0 (5)"	"0 (1)"	"0 (4)"	"0 (2)"	"0 (1)"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	NA
572	">908_@M02381:30:000000000-AUCBB:1:1101:18406:4683"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
573	">910_@M02381:30:000000000-AUCBB:1:1101:21042:4688"	"No results"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
574	">911_@M02381:30:000000000-AUCBB:1:1101:18820:4689"	"productive"	"Homsap TRBV28*01 F"	"324 (326)"	"196 (198)"	"192 (193)"	"4 (5)"	"1 (2)"	"3"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0 (1)"	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4	2	2	0	2	0	0	0	1	0	0	1	0	0	0	0	0	51	51	50	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	30	18	17	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	117	111	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"12 (14)"	"12 (14)"	"12 (13)"	"0 (1)"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	NA
